City,Total_cases,Total_deaths,New_deaths,Active_cases,Total_tests,Date
Northern Mariana Islands ,11,2.0, ,9,45.0,04-13-2020
Wuhan Repatriated ,3,, ,3,3.0,04-13-2020
New York ,202208,10834.0,778 ,174285,499143.0,04-14-2020
New Jersey ,68824,2805.0,362 ,64748,131219.0,04-14-2020
Massachusetts ,26867,844.0, ,25294,122049.0,04-14-2020
Michigan ,25635,1602.0, ,23590,76014.0,04-14-2020
Pennsylvania ,25345,590.0, ,24105,133631.0,04-14-2020
California ,24421,731.0,4 ,22750,212900.0,04-14-2020
Illinois ,22025,794.0, ,21181,105768.0,04-14-2020
Louisiana ,21518,1013.0,129 ,20455,118422.0,04-14-2020
Florida ,21367,524.0,25 ,20218,205413.0,04-14-2020
Texas ,14624,318.0,23 ,11726,146467.0,04-14-2020
Georgia ,14223,501.0,21 ,13691,61795.0,04-14-2020
Connecticut ,13381,602.0, ,12729,44309.0,04-14-2020
Washington ,10703,523.0, ,8855,92999.0,04-14-2020
Maryland ,9472,302.0,40 ,8567,53733.0,04-14-2020
Indiana ,8527,387.0,37 ,8126,46017.0,04-14-2020
Colorado ,7691,308.0,4 ,7343,38742.0,04-14-2020
Ohio ,6975,274.0, ,6581,63243.0,04-14-2020
Virginia ,6171,154.0,5 ,5296,42763.0,04-14-2020
Tennessee ,5610,109.0, ,3830,76195.0,04-14-2020
North Carolina ,5024,108.0,1 ,4830,65039.0,04-14-2020
US Military ,4528,15.0, ,3925,,04-14-2020
Missouri ,4510,122.0, ,4204,45064.0,04-14-2020
Alabama ,3811,105.0,2 ,3686,33050.0,04-14-2020
Arizona ,3806,131.0,9 ,3635,44096.0,04-14-2020
South Carolina ,3439,87.0, ,3352,31426.0,04-14-2020
Wisconsin ,3428,154.0, ,3209,40197.0,04-14-2020
Mississippi ,3087,111.0,13 ,2976,21101.0,04-14-2020
Rhode Island ,2976,73.0, ,2893,20350.0,04-14-2020
Nevada ,2971,120.0, ,1682,30628.0,04-14-2020
Utah ,2363,18.0, ,2127,45787.0,04-14-2020
Oklahoma ,2184,108.0,9 ,1016,28225.0,04-14-2020
District Of Columbia ,2058,67.0,15 ,1473,11518.0,04-14-2020
Kentucky ,2048,104.0, ,1638,26683.0,04-14-2020
Delaware ,1761,41.0, ,1443,12304.0,04-14-2020
Iowa ,1710,43.0, ,926,17592.0,04-14-2020
Minnesota ,1695,79.0,9 ,707,39241.0,04-14-2020
Oregon ,1584,53.0, ,1531,31121.0,04-14-2020
Arkansas ,1480,30.0, ,1023,21131.0,04-14-2020
Idaho ,1453,33.0, ,1396,14881.0,04-14-2020
Kansas ,1376,62.0, ,1074,13864.0,04-14-2020
New Mexico ,1345,31.0, ,1019,31970.0,04-14-2020
New Hampshire ,1020,23.0, ,748,11610.0,04-14-2020
Puerto Rico ,923,45.0, ,874,8535.0,04-14-2020
Nebraska ,871,18.0, ,831,11384.0,04-14-2020
South Dakota ,868,6.0, ,655,9002.0,04-14-2020
Navajo Nation ,813,28.0,4 ,785,,04-14-2020
Vermont ,748,28.0, ,720,10365.0,04-14-2020
Maine ,734,20.0,1 ,422,12168.0,04-14-2020
West Virginia ,633,9.0, ,539,16748.0,04-14-2020
Hawaii ,504,9.0, ,180,18827.0,04-14-2020
Montana ,399,7.0, ,195,9234.0,04-14-2020
 North Dakota ,341,9.0,1 ,194,10916.0,04-14-2020
Alaska ,277,8.0, ,184,8038.0,04-14-2020
Wyoming ,275,1.0, ,134,5963.0,04-14-2020
Guam ,133,5.0, ,70,605.0,04-14-2020
Grand Princess Ship ,103,3.0, ,100,,04-14-2020
United States Virgin Islands ,51,1.0, ,6,400.0,04-14-2020
Diamond Princess Ship ,46,, ,46,46.0,04-14-2020
Northern Mariana Islands ,11,2.0, ,9,45.0,04-14-2020
Wuhan Repatriated ,3,, ,3,3.0,04-14-2020
New York ,203123,11586.0,752 ,167650,499143.0,04-15-2020
New Jersey ,71030,3156.0,351 ,66603,131976.0,04-15-2020
Massachusetts ,28163,957.0, ,26477,126551.0,04-15-2020
Michigan ,27001,1768.0, ,24790,76014.0,04-15-2020
Pennsylvania ,26490,696.0, ,25144,137584.0,04-15-2020
California ,25808,790.0,8 ,23668,215400.0,04-15-2020
Illinois ,23247,868.0, ,22329,110616.0,04-15-2020
Florida ,22081,591.0,20 ,20846,205413.0,04-15-2020
Louisiana ,21951,1103.0,90 ,20798,121928.0,04-15-2020
Texas ,15492,364.0,19 ,11978,151810.0,04-15-2020
Georgia ,14987,552.0,28 ,14404,64090.0,04-15-2020
Connecticut ,13989,671.0, ,13253,45841.0,04-15-2020
Washington ,10795,547.0, ,8824,122854.0,04-15-2020
Maryland ,10032,349.0,47 ,9076,55763.0,04-15-2020
Indiana ,8955,436.0,49 ,8505,48396.0,04-15-2020
Colorado ,7941,329.0, ,7496,39580.0,04-15-2020
Ohio ,7791,361.0,37 ,7310,67874.0,04-15-2020
Virginia ,6500,195.0,41 ,5584,44169.0,04-15-2020
Tennessee ,5823,124.0, ,3730,78831.0,04-15-2020
North Carolina ,5249,125.0,12 ,4241,67827.0,04-15-2020
US Military ,4769,16.0, ,4127,,04-15-2020
 Missouri ,4752,147.0,5 ,4421,48803.0,04-15-2020
Alabama ,4075,118.0,4 ,3937,34077.0,04-15-2020
Arizona ,3962,142.0,11 ,3750,45310.0,04-15-2020
Wisconsin ,3555,170.0, ,3298,41552.0,04-15-2020
South Carolina ,3553,97.0, ,3456,33872.0,04-15-2020
Rhode Island ,3529,87.0,7 ,3432,25897.0,04-15-2020
Mississippi ,3360,122.0,11 ,3238,37773.0,04-15-2020
Nevada ,3211,130.0, ,1912,33437.0,04-15-2020
Utah ,2412,19.0, ,2175,46476.0,04-15-2020
Oklahoma ,2263,123.0,15 ,985,29098.0,04-15-2020
Kentucky ,2210,115.0, ,1789,27697.0,04-15-2020
District Of Columbia ,2197,72.0,5 ,1595,11525.0,04-15-2020
Iowa ,1995,53.0,4 ,1201,19366.0,04-15-2020
Delaware ,1926,43.0, ,1564,12869.0,04-15-2020
Minnesota ,1809,87.0,8 ,782,40242.0,04-15-2020
Oregon ,1633,55.0, ,1578,31121.0,04-15-2020
Arkansas ,1562,32.0, ,1043,21800.0,04-15-2020
Idaho ,1464,39.0, ,1401,15398.0,04-15-2020
Kansas ,1426,69.0, ,1117,14147.0,04-15-2020
New Mexico ,1407,36.0, ,1076,32850.0,04-15-2020
South Dakota ,1168,6.0, ,833,9859.0,04-15-2020
New Hampshire ,1091,27.0, ,815,11847.0,04-15-2020
Puerto Rico ,974,51.0,6 ,919,9209.0,04-15-2020
Nebraska ,901,20.0, ,859,11757.0,04-15-2020
Navajo Nation ,838,33.0,5 ,805,,04-15-2020
Maine ,770,24.0,4 ,441,12168.0,04-15-2020
Vermont ,752,29.0, ,723,10585.0,04-15-2020
West Virginia ,702,10.0, ,545,17656.0,04-15-2020
Hawaii ,517,9.0, ,175,19857.0,04-15-2020
Montana ,404,7.0, ,188,9583.0,04-15-2020
North Dakota ,365,9.0, ,214,11317.0,04-15-2020
Wyoming ,287,1.0, ,122,6129.0,04-15-2020
Alaska ,285,9.0, ,178,8348.0,04-15-2020
Guam ,135,5.0, ,64,605.0,04-15-2020
Grand Princess Ship ,103,3.0, ,100,,04-15-2020
United States Virgin Islands ,51,1.0, ,6,400.0,04-15-2020
Diamond Princess Ship ,46,, ,46,46.0,04-15-2020
Northern Mariana Islands ,13,2.0, ,11,45.0,04-15-2020
Wuhan Repatriated ,3,, ,3,3.0,04-15-2020
New York ,226343,16251.0,606 ,186205,550579.0,04-16-2020
New Jersey ,75317,3518.0,362 ,70528,154010.0,04-16-2020
Massachusetts ,29918,1108.0, ,20692,132023.0,04-16-2020
Michigan ,28059,1921.0, ,25695,92483.0,04-16-2020
Pennsylvania ,27735,779.0, ,26306,141470.0,04-16-2020
California ,27108,889.0,25 ,24869,215400.0,04-16-2020
Illinois ,24593,948.0, ,23595,116929.0,04-16-2020
Florida ,22897,633.0,19 ,21620,220892.0,04-16-2020
Louisiana ,22532,1156.0,53 ,21326,126586.0,04-16-2020
Texas ,16455,393.0,18 ,12385,158547.0,04-16-2020
Georgia ,15669,587.0,11 ,15051,67939.0,04-16-2020
Connecticut ,14755,868.0, ,13822,50143.0,04-16-2020
Washington ,10910,567.0, ,8865,122854.0,04-16-2020
Maryland ,10784,392.0,43 ,9656,58843.0,04-16-2020
Indiana ,9542,477.0,41 ,9051,51115.0,04-16-2020
Ohio ,8414,389.0,28 ,7905,74840.0,04-16-2020
Colorado ,8280,357.0, ,7425,40533.0,04-16-2020
Virginia ,6889,208.0,13 ,5730,46444.0,04-16-2020
Tennessee ,6079,135.0, ,3748,80896.0,04-16-2020
North Carolina ,5553,139.0,7 ,4531,70917.0,04-16-2020
Missouri ,4895,159.0, ,4552,48803.0,04-16-2020
US Military ,4766,17.0, ,4011,,04-16-2020
Alabama ,4317,129.0,6 ,4168,36363.0,04-16-2020
Arizona ,4234,150.0,8 ,4014,47398.0,04-16-2020
Rhode Island ,3838,105.0,18 ,3723,28064.0,04-16-2020
Wisconsin ,3721,182.0, ,3452,43047.0,04-16-2020
South Carolina ,3656,107.0, ,3549,34733.0,04-16-2020
Mississippi ,3624,129.0,7 ,3495,37733.0,04-16-2020
Nevada ,3321,137.0,1 ,2015,34504.0,04-16-2020
Utah ,2542,20.0, ,2304,47614.0,04-16-2020
Oklahoma ,2357,131.0,8 ,1071,30795.0,04-16-2020
District Of Columbia ,2350,81.0,9 ,1717,12150.0,04-16-2020
Kentucky ,2291,122.0, ,1863,28324.0,04-16-2020
Iowa ,2141,60.0,7 ,1340,20675.0,04-16-2020
Delaware ,2014,46.0, ,1614,13102.0,04-16-2020
Minnesota ,1912,94.0,7 ,798,41675.0,04-16-2020
Oregon ,1663,58.0, ,1605,33351.0,04-16-2020
Arkansas ,1599,34.0, ,1056,22289.0,04-16-2020
Kansas ,1588,80.0,4 ,1268,16122.0,04-16-2020
Idaho ,1587,41.0, ,1522,15398.0,04-16-2020
New Mexico ,1484,36.0, ,1153,33394.0,04-16-2020
South Dakota ,1311,7.0,1 ,931,9859.0,04-16-2020
New Hampshire ,1139,32.0, ,742,12166.0,04-16-2020
Puerto Rico ,1043,56.0,5 ,983,9829.0,04-16-2020
Nebraska ,952,21.0, ,909,12324.0,04-16-2020
Navajo Nation ,838,33.0, ,805,,04-16-2020
Maine ,796,27.0,3 ,436,14872.0,04-16-2020
Vermont ,768,35.0,5 ,733,11507.0,04-16-2020
West Virginia ,723,12.0, ,564,18027.0,04-16-2020
Hawaii ,530,9.0, ,162,20812.0,04-16-2020
Montana ,415,7.0, ,190,9936.0,04-16-2020
North Dakota ,393,9.0, ,221,11704.0,04-16-2020
Alaska ,293,9.0, ,178,8483.0,04-16-2020
Wyoming ,288,2.0, ,110,6129.0,04-16-2020
Guam ,135,5.0, ,57,605.0,04-16-2020
Grand Princess Ship ,103,3.0, ,100,,04-16-2020
United States Virgin Islands ,51,1.0, ,4,417.0,04-16-2020
Diamond Princess Ship ,46,, ,46,46.0,04-16-2020
Northern Mariana Islands ,13,2.0, ,11,45.0,04-16-2020
Wuhan Repatriated ,3,, ,3,3.0,04-16-2020
New York ,226198,16736.0,630 ,185575,550579.0,04-17-2020
New Jersey ,78467,3840.0,322 ,73356,154010.0,04-17-2020
Massachusetts ,32181,1245.0, ,22818,140773.0,04-17-2020
Pennsylvania ,29441,837.0, ,27954,141470.0,04-17-2020
Michigan ,29263,2093.0, ,26727,97093.0,04-17-2020
California ,28156,973.0,22 ,25833,227600.0,04-17-2020
Illinois ,25733,1072.0, ,24611,122589.0,04-17-2020
Florida ,24119,686.0,18 ,22747,236503.0,04-17-2020
Louisiana ,23118,1213.0,57 ,21855,131987.0,04-17-2020
Texas ,17371,428.0,24 ,13266,158547.0,04-17-2020
Georgia ,17194,650.0,33 ,16513,71684.0,04-17-2020
Connecticut ,15884,971.0, ,14848,53122.0,04-17-2020
Maryland ,11572,425.0,33 ,10411,62009.0,04-17-2020
Washington ,11152,583.0,2 ,8854,128900.0,04-17-2020
Indiana ,10154,519.0,42 ,9621,54785.0,04-17-2020
Ohio ,9107,418.0,29 ,8569,74840.0,04-17-2020
Colorado ,8675,374.0, ,7803,41830.0,04-17-2020
Virginia ,7491,231.0,23 ,6150,48997.0,04-17-2020
Tennessee ,6262,141.0, ,3925,85049.0,04-17-2020
North Carolina ,5968,166.0,18 ,4919,72981.0,04-17-2020
Missouri ,5178,168.0, ,4826,51545.0,04-17-2020
US Military ,4766,17.0, ,4011,,04-17-2020
Arizona ,4507,169.0,19 ,4268,47398.0,04-17-2020
Alabama ,4456,142.0,5 ,4294,37848.0,04-17-2020
Rhode Island ,4177,118.0,13 ,4049,30761.0,04-17-2020
South Carolina ,3931,109.0, ,3822,36284.0,04-17-2020
Wisconsin ,3875,197.0, ,3591,44849.0,04-17-2020
Mississippi ,3624,129.0, ,3495,37733.0,04-17-2020
Nevada ,3524,142.0, ,2213,35955.0,04-17-2020
Utah ,2683,21.0, ,2444,49678.0,04-17-2020
District Of Columbia ,2476,86.0,5 ,1817,12643.0,04-17-2020
Oklahoma ,2465,136.0,5 ,1174,30795.0,04-17-2020
Kentucky ,2429,129.0, ,1994,29747.0,04-17-2020
Iowa ,2332,64.0,4 ,1261,21792.0,04-17-2020
Delaware ,2075,52.0, ,1645,13350.0,04-17-2020
Minnesota ,2071,111.0,17 ,894,43053.0,04-17-2020
Oregon ,1736,64.0, ,1672,33351.0,04-17-2020
Arkansas ,1620,37.0, ,1035,22675.0,04-17-2020
Idaho ,1609,41.0, ,1540,16183.0,04-17-2020
Kansas ,1603,80.0, ,1283,16122.0,04-17-2020
New Mexico ,1597,44.0, ,1258,34488.0,04-17-2020
South Dakota ,1311,7.0, ,931,9859.0,04-17-2020
New Hampshire ,1211,34.0, ,722,12632.0,04-17-2020
Puerto Rico ,1068,58.0,2 ,1006,10410.0,04-17-2020
Nebraska ,1066,24.0, ,1020,13173.0,04-17-2020
Navajo Nation ,921,38.0, ,883,,04-17-2020
Maine ,827,29.0,2 ,446,14872.0,04-17-2020
Vermont ,779,35.0, ,744,12116.0,04-17-2020
West Virginia ,754,13.0, ,594,18306.0,04-17-2020
Hawaii ,541,9.0, ,158,21985.0,04-17-2020
North Dakota ,439,9.0, ,258,12342.0,04-17-2020
Montana ,422,8.0,1 ,181,10244.0,04-17-2020
 Wyoming ,401,2.0, ,223,6129.0,04-17-2020
Alaska ,300,9.0, ,181,8735.0,04-17-2020
Guam ,135,5.0, ,57,605.0,04-17-2020
Grand Princess Ship ,103,3.0, ,100,,04-17-2020
United States Virgin Islands ,51,2.0,1 ,3,458.0,04-17-2020
 Diamond Princess Ship ,46,, ,46,46.0,04-17-2020
Northern Mariana Islands ,13,2.0, ,11,45.0,04-17-2020
Wuhan Repatriated ,3,, ,3,3.0,04-17-2020
New York ,241041,17671.0,540 ,199483,596532.0,04-18-2020
New Jersey ,81420,4070.0,230 ,76079,164278.0,04-18-2020
Massachusetts ,34402,1404.0, ,24880,148744.0,04-18-2020
Pennsylvania ,31069,957.0, ,29462,153965.0,04-18-2020
Michigan ,30023,2227.0, ,27353,102366.0,04-18-2020
California ,29580,1057.0,16  ,27173,246400.0,04-18-2020
Illinois ,27575,1134.0, ,26391,130163.0,04-18-2020
Florida ,25269,740.0,14 ,23843,248412.0,04-18-2020
Louisiana ,23580,1267.0,54 ,22263,137999.0,04-18-2020
Texas ,18260,453.0,14 ,13617,176239.0,04-18-2020
Georgia ,17669,673.0,5 ,16965,74208.0,04-18-2020
Connecticut ,16809,1036.0, ,15708,55462.0,04-18-2020
Maryland ,12308,463.0,38 ,11074,65370.0,04-18-2020
Washington ,11445,603.0,4 ,9127,131627.0,04-18-2020
Indiana ,10641,545.0,26 ,10082,56873.0,04-18-2020
Ohio ,10222,451.0,33 ,9651,77677.0,04-18-2020
Colorado ,9047,391.0, ,8158,43307.0,04-18-2020
Virginia ,8053,258.0,27 ,6685,51931.0,04-18-2020
Tennessee ,6589,142.0, ,3430,87273.0,04-18-2020
North Carolina ,6310,173.0,1 ,5254,76211.0,04-18-2020
Missouri ,5283,182.0, ,4917,53525.0,04-18-2020
US Military ,4849,19.0, ,3771,,04-18-2020
Arizona ,4719,177.0,8 ,4472,51045.0,04-18-2020
Alabama ,4572,154.0,3 ,4398,42538.0,04-18-2020
Rhode Island ,4491,137.0,19 ,4344,32826.0,04-18-2020
South Carolina ,4086,116.0, ,1232,37640.0,04-18-2020
Wisconsin ,4045,205.0, ,3753,46410.0,04-18-2020
Mississippi ,3974,152.0,12 ,3822,37733.0,04-18-2020
Nevada ,3626,151.0,9 ,2306,35955.0,04-18-2020
Utah ,2805,23.0, ,2339,55771.0,04-18-2020
District Of Columbia ,2666,91.0,5 ,1967,13268.0,04-18-2020
Oklahoma ,2570,139.0,3 ,1276,30795.0,04-18-2020
Kentucky ,2522,137.0, ,2079,30596.0,04-18-2020
Iowa ,2513,74.0,10 ,1432,22947.0,04-18-2020
Delaware ,2323,61.0, ,1839,14017.0,04-18-2020
Minnesota ,2213,121.0,10 ,974,44368.0,04-18-2020
Oregon ,1785,70.0, ,1715,36321.0,04-18-2020
Arkansas ,1739,38.0,1 ,998,24141.0,04-18-2020
New Mexico ,1711,51.0, ,1365,35613.0,04-18-2020
Kansas ,1705,84.0, ,1381,16901.0,04-18-2020
Idaho ,1655,43.0, ,1159,16183.0,04-18-2020
South Dakota ,1542,7.0, ,983,11660.0,04-18-2020
New Hampshire ,1287,37.0, ,782,12852.0,04-18-2020
Nebraska ,1138,24.0, ,1092,13753.0,04-18-2020
Puerto Rico ,1118,60.0,2 ,1054,10933.0,04-18-2020
Navajo Nation ,1042,41.0, ,1001,,04-18-2020
Maine ,827,29.0, ,446,14872.0,04-18-2020
Vermont ,803,38.0,3 ,765,12566.0,04-18-2020
West Virginia ,785,16.0, ,544,19440.0,04-18-2020
Hawaii ,553,9.0, ,154,21985.0,04-18-2020
North Dakota ,528,9.0, ,336,12963.0,04-18-2020
Montana ,426,10.0,2 ,173,10569.0,04-18-2020
Wyoming ,412,2.0, ,204,7280.0,04-18-2020
Alaska ,314,9.0, ,158,9655.0,04-18-2020
Guam ,136,5.0, ,21,605.0,04-18-2020
Grand Princess Ship ,103,3.0, ,100,,04-18-2020
United States Virgin Islands ,53,3.0,1  ,4,458.0,04-18-2020
Diamond Princess Ship ,46,, ,46,46.0,04-18-2020
Northern Mariana Islands ,13,2.0, ,11,45.0,04-18-2020
Wuhan Repatriated ,3,, ,3,3.0,04-18-2020
New York ,247215,18776.0,478 ,204552,617555.0,04-20-2020
New Jersey ,85301,4202.0, ,79828,172543.0,04-20-2020
Massachusetts ,38077,1706.0, ,28253,162241.0,04-20-2020
Pennsylvania ,33232,1238.0,1 ,31344,162952.0,04-20-2020
California ,31675,1178.0,3 ,29147,280900.0,04-20-2020
Michigan ,31424,2391.0, ,25796,113800.0,04-20-2020
Illinois ,30357,1290.0, ,28461,143318.0,04-20-2020
Florida ,26660,789.0,15 ,25185,267957.0,04-20-2020
Louisiana ,24523,1328.0,32 ,23145,141561.0,04-20-2020
Texas ,19458,499.0, ,14153,190394.0,04-20-2020
Georgia ,18947,733.0,52 ,18183,84328.0,04-20-2020
Connecticut ,17962,1127.0, ,16770,59759.0,04-20-2020
Maryland ,13684,582.0,96 ,12185,71397.0,04-20-2020
Washington ,11790,634.0, ,9378,135706.0,04-20-2020
Indiana ,11686,569.0,7 ,11103,64639.0,04-20-2020
Ohio ,11602,471.0, ,11011,86989.0,04-20-2020
Colorado ,9730,422.0, ,8810,46195.0,04-20-2020
Virginia ,8990,300.0,23 ,7366,56735.0,04-20-2020
Tennessee ,7070,148.0, ,3688,97098.0,04-20-2020
North Carolina ,6840,199.0,7 ,5758,79484.0,04-20-2020
Missouri ,5698,198.0, ,5316,53909.0,04-20-2020
Rhode Island ,5090,155.0,5 ,4925,37080.0,04-20-2020
Arizona ,5064,187.0,3 ,4807,54500.0,04-20-2020
Alabama ,4999,165.0,5 ,4814,45712.0,04-20-2020
US Military ,4849,19.0, ,3771,,04-20-2020
Mississippi ,4512,169.0,10 ,4343,39065.0,04-20-2020
South Carolina ,4377,120.0, ,1519,40480.0,04-20-2020
Wisconsin ,4346,220.0, ,3932,49669.0,04-20-2020
Nevada ,3830,158.0,3 ,2503,39528.0,04-20-2020
Iowa ,3159,79.0,4 ,1845,25820.0,04-20-2020
Utah ,3069,27.0, ,2363,63555.0,04-20-2020
